"PROMOTER_TYPE","SURVEY_RESPONSE_DATE","SURVEY_ID","LIKELIHOOD_TO_RECOMMEND","SUPPORT_SATISFACTION","TICKET_NUM"
"Promoter","2017-08-23","3993134","10","10","64670,999,631"
"Promoter","2016-10-24","758494","9","9","65447,122,000"
"Passive","2017-06-12","3110379","8","8","66179,442,000"
"Promoter","2017-06-19","3255040","10","10","66478,999,766"
"Promoter","2016-10-28","794107","9","8","67230,689,864"
"Passive","2016-12-15","1121166","8","8","67398,100,838"
"Promoter","2017-07-31","3593251","9","9","60526,820,820"
"Passive","2016-10-04","629160","8","8","60699,999,760"
"Passive","2018-03-12","6740995","7","8","60803,999,760"
"Promoter","2018-03-26","6967497","10","10","61932,999,760"
"Passive","2017-06-19","3223155","8","9","62092,075,724"
"Promoter","2017-01-26","1324302","10","10","62288,665,706"
"Promoter","2017-12-01","5506313","9","10","63979,442,000"
"Promoter","2017-10-10","4689882","10","10","65585,L6Q,000"
"Promoter","2016-12-26","1208560","10","10","65730,227,000"
"Promoter","2017-04-18","2255090","10","7","65807,180,846"
"Promoter","2018-03-12","6741258","10","4","66727,227,000"
"Promoter","2016-10-05","628202","10","10","67134,664,706"
"Promoter","2017-09-27","4481694","10","10","68629,227,000"
"Promoter","2018-01-01","5881418","10","10","69154,004,000"
"Promoter","2017-10-02","4480934","10","9","69161,664,706"
"Promoter","2016-12-30","1206507","9","9","71970,L6Q,000"
"Promoter","2018-04-23","7463881","10","10","73050,611,760"
"Promoter","2016-10-06","644562","10","10","73337,077,649"
"Promoter","2017-09-07","4149186","10","10","73466,614,760"
"Detractor","2017-10-15","4689339","0","0","73544,614,760"
"Detractor","2018-03-19","6741498","6","6","74240,614,760"
"Promoter","2016-12-19","1130939","10","10","78095,000,834"
"Promoter","2017-12-19","5766651","10","10","78810,L6Q,000"
"Passive","2016-10-14","664442","8","7","78963,082,000"
"Promoter","2018-02-23","6476154","10","10","79238,122,000"
"Passive","2016-10-28","795084","7","7","79281,031,724"
"Detractor","2017-08-20","3789819","4","4","79551,024,677"
"Promoter","2017-02-02","1444197","10","10","79933,082,000"
"Passive","2017-07-17","3519841","8","8","80477,820,758"
"Passive","2017-09-13","4194016","8","10","81490,841,758"
"Promoter","2018-04-03","7049118","10","10","81498,227,000"
"Promoter","2017-02-01","1431391","9","8","83023,033,724"
"Promoter","2017-10-20","4835341","10","10","87170,227,000"
"Promoter","2018-03-14","6741853","9","9","87337,122,000"
"Passive","2017-03-06","1638615","8","7","88803,112,848"
"Promoter","2017-06-23","3255067","10","10","90113,442,000"
"Promoter","2017-01-11","1263197","10","9","90224,031,724"
"Promoter","2017-03-06","1701635","9","9","90393,999,738"
"Promoter","2018-01-22","6036883","10","10","90410,082,000"
"Detractor","2017-01-20","1355140","5","5","90616,227,000"
"Detractor","2017-01-30","1398943","6","8","92878,227,000"
"Promoter","2016-11-23","962427","10","10","92949,227,000"
"Detractor","2017-10-18","4793722","5","5","93146,999,738"
"Promoter","2016-11-22","949788","9","9","93323,842,758"
"Detractor","2017-03-13","1745902","4","5","93918,300,624"
"Detractor","2018-02-07","6256568","5","10","94069,004,000"
"Promoter","2017-12-07","5681912","10","10","94804,000,744"
"Detractor","2017-11-17","5309949","6","0","TS000044830"
"Passive","2018-01-21","6006087","7","7","TS000077648"
"Promoter","2018-02-06","6244518","10","10","TS000095038"
"Promoter","2018-02-10","6245513","10","10","TS000104323"
"Passive","2018-03-05","6623717","7","8","TS000105533"
"Passive","2018-03-02","6425433","7","7","TS000108246"
"Promoter","2018-03-05","6619359","10","10","TS000126018"
"Detractor","2018-03-26","6970816","5","5","TS000128667"
"Promoter","2018-03-21","6897231","10","9","TS000143025"
"Promoter","2018-04-13","7248340","10","10","TS000154153"
"Promoter","2018-05-15","7978744","10","10","TS000170584"
"Promoter","2018-04-26","7546402","10","10","TS000817049"
"Promoter","2018-05-15","8063212","10","10","TS000872640"
"Promoter","2018-05-10","7921199","10","10","TS000876285"
"Promoter","2017-07-03","3408405","9","9","68242,999,781"
"Promoter","2017-02-22","1563664","10","10","70951,180,846"
"Passive","2017-11-20","5294502","8","10","74270,L6Q,000"
"Promoter","2017-03-31","1968594","10","10","75467,821,821"
"Detractor","2018-03-12","6710295","6","10","76706,633,760"
"Passive","2017-08-17","3848235","8","10","78364,211,788"
"Promoter","2016-11-28","970039","9","8","79470,004,000"
"Promoter","2016-10-10","663884","10","10","80259,227,000"
"Promoter","2018-02-21","6376563","10","10","84375,L6Q,000"
"Promoter","2018-01-16","6003153","10","10","84508,082,000"
"Promoter","2018-01-26","6118612","10","10","84577,L6Q,000"
"Promoter","2018-03-02","6569949","10","10","85020,122,000"
"Detractor","2017-09-19","4325821","6","6","86397,660,706"
"Passive","2018-05-01","7674827","8","8","87284,122,000"
"Promoter","2017-05-02","2396628","10","10","87835,227,000"
"Detractor","2017-02-07","1467409","3","2","88419,211,788"
"Promoter","2017-02-13","1506587","10","8","88484,077,724"
"Passive","2017-04-24","2321521","8","","92056,000,744"
"Promoter","2017-06-27","3333066","9","9","92088,442,000"
"Promoter","2017-02-22","1598732","10","10","92756,442,000"
"Promoter","2016-12-16","1156329","9","9","94618,L6Q,000"
"Promoter","2018-03-27","6970668","9","9","TS000124007"
"Passive","2018-03-22","6853486","8","8","TS000143422"
"Promoter","2018-04-24","7466354","10","10","TS000175105"
"Promoter","2018-04-27","7466644","10","10","TS000181569"
"Promoter","2018-04-18","7376537","10","10","TS000214396"
"Promoter","2018-04-26","7519550","9","9","TS000796491"
"Passive","2018-05-03","7747159","8","7","TS000825571"
"Passive","2018-05-16","8062912","7","10","TS000828533"
"Passive","2018-05-03","7676069","7","8","TS000846569"
"Promoter","2018-05-01","7676278","9","9","TS000864049"
"Passive","2017-08-25","3920478","7","6","00139,999,859"
"Promoter","2018-02-18","6360763","10","8","00145,762,762"
"Passive","2016-10-18","711566","8","9","00736,070,724"
"Promoter","2017-11-10","5175880","10","10","00776,042,649"
"Promoter","2016-10-24","758298","9","10","00843,122,000"
"Promoter","2017-04-30","2325562","9","9","01008,999,865"
"Promoter","2018-01-22","6046570","10","10","02670,077,724"
"Detractor","2017-10-17","4773089","1","8","04923,070,724"
"Passive","2016-10-17","712615","8","8","05152,082,000"
"Promoter","2017-09-19","4347068","10","10","05515,122,000"
"Promoter","2017-08-01","3623461","10","10","07232,082,000"
"Promoter","2017-05-16","2396232","10","10","07232,122,000"
"Passive","2016-12-26","1209177","7","7","07873,999,616"
"Promoter","2017-04-21","2303776","9","9","09505,024,649"
"Promoter","2017-03-18","1811206","10","10","10157,635,760"
"Promoter","2018-02-13","6268121","10","10","10960,033,724"
"Passive","2017-03-28","1838736","8","9","11607,019,866"
"Passive","2017-03-31","1914764","8","8","12465,999,649"
"Promoter","2018-04-13","7265682","10","10","15230,250,631"
"Promoter","2017-05-16","2528514","9","9","15347,999,706"
"Promoter","2017-12-19","5765490","10","10","15425,101,616"
"Passive","2017-05-26","2798687","8","10","15710,999,706"
"Promoter","2017-02-14","1527972","9","9","15822,841,758"
"Passive","2017-05-23","2568055","7","7","16032,001,832"
"Promoter","2017-05-08","2442090","9","9","16607,841,758"
"Promoter","2016-10-25","754561","9","9","17092,130,846"
"Promoter","2017-07-24","3555768","10","10","17805,999,866"
"Promoter","2017-09-29","4438628","10","10","17939,122,000"
"Promoter","2017-08-21","3920216","10","10","18447,999,866"
"Promoter","2017-03-07","1698968","9","9","19431,004,000"
"Passive","2017-08-22","3921534","7","6","20064,999,724"
"Promoter","2017-10-05","4635827","10","10","20567,999,724"
"Passive","2018-04-24","7410967","8","10","00297,823,823"
"Promoter","2018-05-04","7616823","9","9","00848,042,649"
"Promoter","2016-10-10","663748","10","10","01045,122,000"
"Promoter","2017-02-21","1553930","10","10","01108,000,744"
"Promoter","2017-10-27","4910886","10","10","01496,001,866"
"Promoter","2016-12-14","1120035","10","10","01663,070,724"
"Promoter","2016-12-31","1229944","10","9","02722,999,642"
"Promoter","2017-06-27","3334641","9","9","05517,999,724"
"Promoter","2018-02-09","6267557","10","10","06049,SGC,708"
"Promoter","2016-12-30","1214361","9","9","06074,L6Q,000"
"Promoter","2017-03-13","1771118","10","10","07125,442,000"
"Promoter","2018-03-08","6690101","10","10","07413,442,000"
"Detractor","2017-08-31","4083595","4","9","07444,122,000"
"Promoter","2017-07-11","3436937","9","9","07959,000,766"
"Promoter","2018-03-30","6964628","10","10","08114,442,000"
"Promoter","2017-06-20","3255539","9","9","08514,082,000"
"Passive","2016-12-30","1209071","8","8","08914,019,866"
"Passive","2017-09-05","3921302","7","10","09645,999,724"
"Promoter","2017-03-23","1875906","9","10","10480,282,649"
"Promoter","2017-12-27","5816554","9","8","10572,033,724"
"Promoter","2017-08-24","4007869","10","10","10755,842,758"
"Passive","2017-01-03","1229367","8","8","10996,227,000"
"Promoter","2016-10-24","759157","10","10","11900,101,616"
"Promoter","2016-10-04","623776","9","9","12096,047,649"
"Promoter","2017-02-17","1562324","10","10","12809,047,649"
"Detractor","2017-04-20","2291745","5","5","12870,000,781"
"Passive","2017-02-13","1471385","7","8","13553,999,706"
"Promoter","2017-01-23","1372745","10","9","13625,004,000"
"Promoter","2017-10-31","4989884","9","8","14018,000,781"
"Promoter","2017-06-12","2989584","9","10","14435,999,649"
"Detractor","2016-11-11","887308","5","8","15022,442,000"
"Promoter","2017-11-09","5163681","9","10","20599,842,758"
"Promoter","2017-05-05","2392183","10","10","21250,999,744"
"Promoter","2018-01-18","6024447","10","10","21412,070,724"
"Promoter","2018-03-05","6475728","10","10","21746,021,724"
"Passive","2017-05-30","2844496","8","8","21748,999,616"
"Promoter","2017-08-11","3770899","10","10","22090,442,000"
"Passive","2017-10-30","4919364","8","8","22419,228,631"
"Promoter","2018-04-16","7246302","9","8","22530,L6Q,000"
"Promoter","2017-10-27","4911656","10","10","25076,768,768"
"Promoter","2017-03-24","1877007","9","10","25108,001,862"
"Passive","2017-09-19","4347648","7","8","27304,000,778"
"Passive","2017-05-19","2568326","7","8","27692,800,624"
"Passive","2016-11-23","934246","8","8","27805,082,000"
"Promoter","2017-03-06","1699420","10","10","28387,999,672"
"Promoter","2017-05-10","2390682","10","10","28927,999,672"
"Promoter","2017-01-16","1324266","10","10","30015,227,000"
"Promoter","2017-01-31","1427504","10","10","15311,004,000"
"Passive","2016-10-04","624401","7","10","16271,442,000"
"Promoter","2017-02-06","1473056","9","9","16995,004,000"
"Promoter","2016-11-11","887566","9","9","17415,122,000"
"Promoter","2017-10-03","4497561","9","9","18132,999,832"
"Passive","2017-01-02","1231009","7","10","19390,668,668"
"Promoter","2017-05-08","2445033","10","9","20269,228,631"
"Promoter","2016-10-28","795257","10","10","20845,082,000"
"Detractor","2017-03-21","1764313","5","8","20905,999,760"
"Passive","2017-08-07","3713176","8","10","21505,442,000"
"Promoter","2018-04-02","7086246","10","10","21899,L6Q,000"
"Passive","2017-08-02","3675633","7","9","22468,003,756"
"Promoter","2018-04-09","7157959","10","10","23615,060,618"
"Passive","2017-09-10","4147865","8","8","23860,999,616"
"Promoter","2017-03-20","1839213","9","","24194,082,000"
"Promoter","2017-12-01","5519127","10","10","24282,228,631"
"Detractor","2017-06-13","3133870","6","7","30683,999,760"
"Promoter","2016-11-28","906048","10","10","31695,031,724"
"Promoter","2017-05-23","2582937","9","9","31958,122,000"
"Detractor","2016-10-24","741427","0","0","32204,031,724"
"Passive","2017-01-16","1317297","7","9","32604,227,000"
"Passive","2017-09-27","4347938","8","8","33575,442,000"
"Passive","2017-07-05","3425872","8","9","33716,L6Q,000"
"Promoter","2017-04-17","2257596","10","10","37057,L6Q,000"
"Detractor","2016-12-19","1145891","6","6","39453,663,706"
"Detractor","2016-11-14","900578","6","7","40415,082,000"
"Promoter","2017-09-18","4326554","9","10","40726,442,000"
"Detractor","2017-05-30","2843993","3","2","42782,227,000"
"Passive","2017-10-23","4860533","7","7","44478,999,760"
"Passive","2017-08-03","3686948","7","10","44653,227,000"
"Promoter","2017-01-09","1257353","9","9","44713,442,000"
"Detractor","2017-09-27","4481864","0","0","24639,004,000"
"Passive","2017-02-27","1630775","7","8","24734,211,788"
"Promoter","2018-02-19","6406572","10","10","26220,228,631"
"Promoter","2016-12-27","1207602","10","10","26602,442,000"
"Detractor","2018-01-29","6088371","5","7","27194,999,724"
"Promoter","2017-03-28","1934114","10","10","27199,082,649"
"Detractor","2017-02-20","1552285","6","6","27202,000,852"
"Detractor","2017-06-07","3016198","5","8","27798,999,760"
"Detractor","2017-02-07","1471301","2","10","29084,820,820"
"Promoter","2017-02-27","1632910","10","10","29777,L6Q,000"
"Promoter","2017-02-02","1445642","10","10","29898,442,000"
"Promoter","2016-10-25","753240","10","10","32146,756,000"
"Detractor","2017-11-06","4990509","2","2","32425,300,624"
"Promoter","2017-12-27","5845208","10","10","32962,031,724"
"Passive","2017-07-18","3523167","8","8","37850,017,649"
"Promoter","2017-07-31","3646790","9","9","38261,999,760"
"Passive","2018-04-26","7409796","8","7","45389,003,756"
"Promoter","2017-03-02","1638638","9","9","46668,141,672"
"Passive","2017-07-05","3388230","8","7","46986,442,000"
"Passive","2017-08-22","3918508","8","8","47030,L6Q,000"
"Passive","2018-05-08","7865035","8","9","48547,080,678"
"Promoter","2017-10-31","4991073","10","10","49422,999,760"
"Detractor","2017-05-02","2326778","5","3","51595,082,000"
"Promoter","2016-12-15","1075518","9","9","52169,228,631"
"Promoter","2018-01-29","6124369","9","8","52203,217,631"
"Passive","2017-07-04","3408578","8","8","52818,650,706"
"Promoter","2017-11-20","5279921","9","8","53098,001,866"
"Passive","2017-02-07","1452680","7","6","53289,228,631"
"Detractor","2017-12-13","5737129","3","2","542976"
"Promoter","2018-01-11","5961050","10","10","549090"
"Promoter","2017-09-12","4239448","9","9","58150,L6Q,000"
"Promoter","2017-05-23","2722842","10","10","59609,004,000"
"Promoter","2017-02-07","1471890","10","10","60616,075,724"
"Detractor","2018-03-08","6669893","0","0","60969,999,744"
"Promoter","2018-04-24","7412254","10","10","60970,082,000"
"Promoter","2017-02-20","1553535","10","10","61126,075,724"
"Passive","2017-10-30","4958345","7","7","62520,69E,760"
"Detractor","2017-05-26","2721183","2","2","62633,442,000"
"Passive","2017-10-11","4663089","7","7","63010,L6Q,000"
"Passive","2016-10-12","665511","8","7","64205,071,724"
"Promoter","2017-09-13","4240006","10","10","64249,632,760"
"Detractor","2017-03-20","1809800","5","3","64396,660,706"
"Passive","2017-01-09","1242322","7","7","65250,180,846"
"Promoter","2017-05-15","2532678","10","10","65325,082,000"
"Promoter","2017-01-12","1297820","9","10","67959,442,000"
"Promoter","2016-11-18","934347","10","10","68338,227,000"
"Promoter","2017-01-12","1298237","10","10","68738,082,000"
"Detractor","2017-12-14","5752901","0","0","68986,L6Q,000"
"Promoter","2017-03-06","1696810","9","9","38716,000,738"
"Passive","2017-03-17","1771973","7","7","39202,L6Q,000"
"Passive","2017-10-10","4665512","8","8","40055,024,649"
"Promoter","2017-04-28","2369068","9","9","40154,442,000"
"Promoter","2017-08-22","3921735","10","10","40211,999,760"
"Detractor","2017-08-21","3918027","5","6","40668,999,760"
"Promoter","2017-02-13","1526277","10","9","41482,227,000"
"Promoter","2017-02-14","1526489","10","10","41729,227,000"
"Promoter","2016-12-27","1197457","10","10","44071,442,000"
"Promoter","2016-12-16","1121223","10","10","44253,082,000"
"Passive","2017-01-02","1238196","8","8","44512,122,000"
"Promoter","2017-09-18","4326127","10","8","45755,634,760"
"Passive","2018-01-15","5930216","8","8","51031,300,838"
"Promoter","2017-03-09","1734235","10","10","51151,227,000"
"Passive","2017-02-06","1445206","7","8","51289,122,000"
"Promoter","2017-11-13","5177306","10","10","52017,082,000"
"Promoter","2018-01-29","6141219","10","10","52545,082,000"
"Passive","2017-03-16","1800727","8","8","53173,227,000"
"Promoter","2017-06-12","3110543","10","10","53332,122,000"
"Passive","2018-01-16","5969600","8","8","549643"
"Promoter","2018-03-06","6622164","9","9","58463,022,724"
"Promoter","2017-10-27","4939337","10","10","58979,633,760"
"Promoter","2017-06-09","3074397","10","10","60499,840,758"
"Detractor","2016-11-21","947425","6","10","60800,632,760"
"Detractor","2017-02-12","1503246","5","3","62074,035,724"
"Promoter","2016-11-06","811893","10","10","63365,999,760"
"Promoter","2017-02-07","1471830","10","10","63509,073,724"
"Promoter","2017-03-28","1918287","10","10","63581,025,724"
"Detractor","2017-12-20","5786025","6","10","64460,073,724"
"Passive","2017-08-10","3757626","8","8","64646,082,000"
"Promoter","2016-10-18","711561","10","10","64774,071,724"
"Detractor","2016-12-07","1035398","0","0","67178,999,760"
"Detractor","2016-11-29","973950","6","8","67724,999,760"
"Detractor","2017-10-26","4921456","4","2","68999,L6Q,000"
"Promoter","2017-02-20","1583666","10","10","69656,122,000"
"Detractor","2016-10-06","624100","6","6","69780,004,000"
"Detractor","2017-05-08","2393275","3","10","72063,611,760"
"Promoter","2017-07-26","3589212","10","10","72668,057,649"
"Promoter","2016-10-27","713892","10","10","73224,046,649"
"Passive","2017-01-23","1377077","7","10","74132,001,866"
"Promoter","2016-10-18","710882","10","8","74179,650,706"
"Promoter","2017-01-23","1371738","10","10","75546,442,000"
"Promoter","2016-10-10","644179","10","10","76838,082,000"
"Passive","2017-02-01","1437733","8","8","77039,082,000"
"Promoter","2017-07-31","3624599","9","9","77079,821,821"
"Promoter","2017-12-21","5817775","10","10","77728,L6Q,000"
"Promoter","2017-02-28","1617714","10","10","78267,122,000"
"Promoter","2017-12-06","5630323","10","10","78327,442,000"
"Promoter","2016-12-14","1121300","10","10","83070,033,724"
"Passive","2017-03-10","1736761","8","9","83521,012,649"
"Passive","2017-05-02","2390448","8","8","83677,012,649"
"Passive","2017-03-12","1698427","8","7","85099,000,834"
"Promoter","2017-02-08","1465746","10","10","85452,019,866"
"Promoter","2017-05-20","2526380","10","9","85883,227,000"
"Detractor","2017-11-14","5111330","3","2","86390,227,000"
"Promoter","2018-02-27","6512487","9","8","86402,122,000"
"Detractor","2016-12-26","1213919","2","2","86739,211,788"
"Promoter","2017-05-08","2443186","9","10","87625,227,000"
"Passive","2017-01-18","1318430","7","7","87903,211,788"
"Promoter","2017-04-11","2054481","10","10","89375,766,766"
"Promoter","2017-11-27","5520863","9","8","90060,693,760"
"Detractor","2017-09-03","4068758","5","2","90082,082,000"
"Promoter","2017-03-20","1811218","9","9","90469,122,000"
"Detractor","2016-11-07","858789","6","9","90870,227,000"
"Promoter","2018-01-29","6143242","10","10","92714,082,000"
"Promoter","2018-02-27","6532908","9","9","92853,766,766"
"Detractor","2018-03-20","6796104","2","2","94259,082,000"
"Promoter","2018-02-13","6299654","10","10","94698,004,000"
"Promoter","2017-09-20","4257418","10","10","94748,082,000"
"Promoter","2017-11-13","5146872","9","10","TS000032106"
"Detractor","2017-11-19","5209852","3","8","TS000040528"
"Detractor","2017-12-28","5828000","4","5","TS000051174"
"Promoter","2017-12-11","5682584","10","10","TS000059139"
"Passive","2018-01-07","5917228","8","8","TS000061579"
"Promoter","2018-04-12","7248233","9","9","TS000137930"
"Passive","2018-05-07","7746699","8","5","TS000169663"
"Promoter","2017-01-13","1299575","9","9","69316,011,724"
"Detractor","2018-04-20","7410199","1","1","69650,227,000"
"Passive","2018-05-09","7809191","8","9","70660,082,000"
"Promoter","2017-11-08","5146529","10","10","70975,999,766"
"Promoter","2017-01-20","1319015","9","9","72863,999,866"
"Promoter","2016-10-10","651277","10","10","74767,001,726"
"Promoter","2018-02-26","6512084","10","10","76552,075,724"
"Promoter","2018-04-25","7463942","10","10","77833,633,760"
"Promoter","2018-01-18","6035888","10","10","80204,082,000"
"Promoter","2017-08-01","3627884","9","9","81974,122,000"
"Promoter","2017-08-04","3695812","10","10","83099,122,000"
"Passive","2017-03-15","1748176","7","8","83881,033,724"
"Promoter","2017-08-11","3771301","10","10","84148,122,000"
"Passive","2017-07-28","3626062","8","9","84381,122,000"
"Promoter","2017-05-15","2533377","10","10","85163,082,000"
"Detractor","2017-05-16","2528402","5","5","85336,660,706"
"Promoter","2018-03-09","6710450","10","10","87635,122,000"
"Passive","2016-11-09","855676","7","6","89533,999,706"
"Promoter","2018-01-23","6048004","9","7","90246,082,000"
"Promoter","2017-02-13","1519680","9","9","90905,442,000"
"Promoter","2017-04-17","2219879","10","10","92236,000,744"
"Passive","2016-10-24","714218","8","3","92794,300,624"
"Promoter","2017-08-21","3918109","9","8","93210,122,000"
"Passive","2016-12-16","1116440","8","10","93256,L6Q,000"
"Passive","2017-03-29","1917161","7","8","94121,842,758"
"Detractor","2017-11-27","5210471","3","3","TS000041551"
"Promoter","2018-03-16","6711077","10","10","TS000048922"
"Passive","2018-01-29","6050437","8","9","TS000060654"
"Promoter","2018-01-15","6005994","10","10","TS000075651"
"Promoter","2018-02-13","6281860","10","10","TS000080575"
"Promoter","2018-03-11","6623949","10","10","TS000115251"
"Promoter","2018-04-04","6971114","10","10","TS000141142"
"Promoter","2018-04-18","7376002","9","10","TS000165631"
"Detractor","2018-04-16","7219367","0","0","TS000168705"
"Passive","2018-05-09","7919149","7","10","TS000799393"
"Promoter","2017-05-22","2532807","9","9","00475,227,000"
"Passive","2017-02-03","1347797","8","10","00762,070,724"
"Promoter","2016-11-04","815647","9","9","00783,830,758"
"Promoter","2018-05-03","7700723","9","9","01418,832,832"
"Passive","2017-03-06","1675541","8","8","03097,070,724"
"Promoter","2018-02-19","6405543","10","10","03392,442,000"
"Passive","2017-06-12","3110538","8","8","03499,227,000"
"Promoter","2017-04-24","2322938","10","10","03757,999,818"
"Promoter","2017-11-10","5110534","10","10","05027,620,620"
"Passive","2016-10-11","661996","8","8","05068,999,373"
"Promoter","2018-04-06","7157422","10","10","06654,122,000"
"Promoter","2018-04-23","7461900","10","10","07259,122,000"
"Detractor","2017-06-16","3235477","6","2","08108,082,000"
"Detractor","2017-10-13","4691390","5","5","08391,442,000"
"Promoter","2017-03-22","1811436","10","10","08579,442,000"
"Passive","2016-11-18","908051","8","8","09024,082,000"
"Promoter","2016-10-17","710603","10","10","09106,082,000"
"Detractor","2017-08-31","4069584","4","2","00464,663,706"
"Promoter","2017-07-11","3462748","10","9","00631,999,805"
"Passive","2016-11-07","835920","8","8","00876,070,724"
"Passive","2017-03-19","1768683","7","10","02457,172,672"
"Promoter","2016-12-21","1176689","10","10","02872,124,848"
"Promoter","2017-07-03","3409085","9","9","04687,69G,760"
"Promoter","2018-03-05","6615251","10","10","04728,442,000"
"Detractor","2016-10-27","794402","5","5","04909,122,000"
"Promoter","2017-03-22","1866615","9","9","06167,999,858"
"Promoter","2018-03-21","6894914","10","10","06350,122,000"
"Detractor","2017-04-24","2320270","2","6","08695,67D,760"
"Promoter","2017-02-07","1455069","10","9","09400,999,616"
"Promoter","2016-12-26","1209594","10","10","09695,999,649"
"Promoter","2017-08-09","3744714","10","10","09947,112,848"
"Passive","2018-04-02","7085750","7","3","10131,004,000"
"Promoter","2017-09-20","4367225","10","10","10907,082,000"
"Passive","2017-03-14","1772706","8","10","11474,019,866"
"Passive","2018-01-31","6123346","8","8","11568,842,758"
"Promoter","2017-09-07","4055107","10","10","15739,004,000"
"Passive","2018-04-12","7246163","7","7","16667,122,000"
"Passive","2016-10-11","664069","8","8","16994,442,000"
"Promoter","2016-11-18","899602","9","10","18412,122,000"
"Promoter","2017-05-30","2842976","10","10","19174,001,862"
"Promoter","2017-11-14","5177104","10","10","19661,077,649"
"Promoter","2017-06-26","3315598","10","10","20055,082,000"
"Promoter","2017-06-23","3256243","9","9","20134,082,000"
"Detractor","2017-05-30","2847361","3","2","20317,999,706"
"Promoter","2017-06-16","3236556","10","10","20928,227,000"
"Passive","2017-04-02","1918296","8","8","21669,999,760"
"Promoter","2017-07-10","3446218","10","10","21809,228,631"
"Promoter","2017-10-18","4805728","10","10","22488,999,649"
"Passive","2017-09-12","4238869","8","9","23181,228,631"
"Promoter","2017-10-18","4805762","9","9","23946,999,616"
"Detractor","2017-09-27","4482164","5","8","24176,999,616"
"Passive","2018-05-01","7544132","8","8","24943,L6Q,000"
"Promoter","2017-10-10","4691479","10","10","25121,787,787"
"Promoter","2017-10-09","4463853","9","9","26078,999,724"
"Promoter","2017-10-09","4689995","9","10","26652,082,000"
"Passive","2016-11-15","905559","8","8","28361,820,820"
"Passive","2017-10-09","4662049","7","8","29280,211,788"
"Detractor","2017-02-27","1631325","6","9","29609,L6Q,000"
"Promoter","2016-12-20","1177090","10","5","29821,122,000"
"Promoter","2017-05-08","2439310","9","9","29945,442,000"
"Promoter","2016-10-04","628250","10","10","31055,001,806"
"Promoter","2017-11-09","5144333","10","5","10074,033,724"
"Passive","2017-02-06","1446531","7","7","11756,500,624"
"Promoter","2018-03-07","6669209","10","10","11796,004,000"
"Passive","2017-02-06","1427861","8","8","12238,999,649"
"Promoter","2017-06-27","3333287","9","9","14856,019,866"
"Promoter","2017-02-03","1452683","9","10","15682,004,000"
"Detractor","2017-09-01","4083691","3","7","17026,019,866"
"Promoter","2017-08-24","3790023","9","9","17641,000,744"
"Promoter","2017-02-13","1506899","10","10","18095,001,862"
"Promoter","2016-10-14","697465","10","10","18491,442,000"
"Detractor","2017-02-28","1646223","6","5","19009,999,760"
"Passive","2017-04-13","2221446","8","8","20278,049,649"
"Promoter","2017-07-31","3646785","10","10","20365,004,000"
"Promoter","2017-03-16","1800674","10","10","21129,082,000"
"Passive","2017-09-25","4439499","8","8","21320,100,838"
"Promoter","2018-01-30","6140458","9","6","21636,070,724"
"Promoter","2017-09-12","4238966","10","10","21675,999,649"
"Promoter","2018-04-24","7409337","9","10","22456,L6Q,000"
"Promoter","2017-09-14","4257025","10","9","24332,999,744"
"Promoter","2017-02-06","1465691","10","10","25470,L6Q,000"
"Promoter","2016-11-28","974823","10","10","27362,082,000"
"Passive","2018-05-08","7864599","8","8","27730,110,846"
"Detractor","2016-12-15","1145951","0","0","29125,122,000"
"Promoter","2017-01-06","1238855","9","9","29368,082,000"
"Promoter","2017-07-26","3588278","10","10","29696,999,724"
"Passive","2017-03-24","1808695","8","","30166,082,000"
"Promoter","2018-01-13","5929807","10","10","36803,001,862"
"Promoter","2017-02-13","1519368","10","10","40046,227,000"
"Passive","2017-11-01","4937767","8","8","42117,999,744"
"Passive","2017-05-22","2731770","8","8","42934,000,613"
"Promoter","2017-03-10","1748574","10","10","43103,227,000"
"Promoter","2017-07-03","3407575","10","10","32079,999,760"
"Promoter","2017-06-23","3316459","10","10","32188,L6Q,000"
"Promoter","2017-04-19","2052766","10","10","34673,082,000"
"Passive","2018-05-15","8025682","8","9","34911,300,624"
"Promoter","2017-01-02","1208441","10","9","37566,000,738"
"Detractor","2017-03-19","1771548","6","6","38872,000,738"
"Promoter","2017-05-15","2532466","10","10","40768,442,000"
"Promoter","2018-01-02","5871023","10","10","40877,999,862"
"Promoter","2017-02-13","1526206","10","10","41881,227,000"
"Promoter","2017-08-01","3661745","9","9","43643,L6Q,000"
"Passive","2017-09-09","4194284","8","9","43862,999,846"
"Promoter","2018-01-17","5970222","9","9","44538,999,744"
"Promoter","2017-03-27","1917467","9","9","45501,004,000"
"Passive","2017-10-22","4792665","8","8","45750,999,760"
"Promoter","2018-04-16","7246703","10","10","47428,082,000"
"Promoter","2017-10-29","4939270","10","10","47995,999,760"
"Promoter","2017-11-14","5116153","9","10","49487,999,760"
"Passive","2017-06-16","3112121","7","8","50154,057,649"
"Passive","2017-07-18","3507208","8","8","51439,122,000"
"Passive","2016-12-13","1075116","8","7","51999,650,706"
"Promoter","2017-11-14","5164373","10","10","52173,663,706"
"Detractor","2017-11-03","5079541","4","7","530381"
"Promoter","2017-06-16","3109850","10","10","53697,122,000"
"Passive","2016-10-09","650910","7","7","54005,999,834"
"Promoter","2017-06-23","3258069","10","10","54463,122,000"
